PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS	NFYC	IRF8	TCF3	PPARD	SNAI1
10.1726122	3.8508211	3.8508211	6.9736202	10.2521038	3.8508211	11.0053562	7.4354541	14.336412	16.2989259	17.2343758	14.021187	10.4543218	8.8052409	9.4125173
10.0342734	15.0825879	3.996369	3.996369	11.675677	3.996369	3.996369	3.996369	11.0398234	10.773807	16.8543831	12.4205361	10.228764	12.9135268	3.996369
14.5543444	9.7378696	15.8036379	12.8050121	3.7390369	10.5512902	13.8217696	7.9866321	13.3679491	12.4588336	14.7725318	14.5794947	10.2775093	12.270872	3.7390369
4.0738073	11.9706692	4.0738073	4.0738073	10.7796585	4.0738073	4.0738073	10.0318566	13.9800193	10.86551	14.323386	12.7151274	4.0738073	12.4078713	4.0738073
3.9726457	3.9726457	21.7370383	3.9726457	9.9879788	3.9726457	12.5699807	3.9726457	16.8007379	14.9618708	14.6499455	15.3524434	14.0394224	13.674075	10.9471549
10.6801263	10.3658868	14.0726915	9.5673065	9.5950442	16.29642	10.3800097	6.4084814	13.1729479	22.3959905	18.2535881	11.6926038	12.6415552	11.5717378	10.469893
3.9924118	9.280127	3.9924118	8.6251499	11.5949592	13.6902629	3.9924118	3.9924118	14.3791741	9.8198806	17.0327477	12.7466117	8.9706958	13.0209577	3.9924118
3.9573112	12.5766098	3.9573112	3.9573112	9.1114885	16.5873855	3.9573112	8.463372	11.9479853	10.2489035	14.4426656	14.3139388	3.9573112	11.9758715	3.9573112
4.0448917	12.7971778	4.0448917	9.1730782	9.7741656	4.0448917	4.0448917	4.0448917	11.8910646	4.0448917	11.7313671	12.4105475	10.3351372	8.8896439	4.0448917
10.5011383	11.5866853	12.6710925	8.9638533	7.4626513	3.9390425	13.0588595	6.0317712	10.9138136	16.1724299	17.2320589	13.4744864	12.426944	12.5700111	3.9390425
3.8940077	11.78368	8.2946787	3.8940077	10.7074848	3.8940077	3.8940077	3.8940077	11.5810625	11.1530721	15.683736	13.5326109	11.4843685	11.7133053	3.8940077
3.9097937	12.5011255	3.9097937	3.9097937	9.0387818	14.5911807	3.9097937	3.9097937	10.6608242	8.9626641	13.6084146	14.9299151	12.0040702	11.2545885	3.9097937
9.3555338	10.968241	13.9697695	10.988099	10.9538106	3.6932955	12.5036421	7.3838595	14.3746911	12.945537	17.15962	11.5856821	10.4697912	13.5250461	13.1697264
12.9375981	9.415342	10.8295255	3.9145858	7.5110905	3.9145858	3.9145858	7.2013542	14.3268672	11.7930432	13.6386826	11.0951954	8.3060291	9.7178563	3.9145858
3.9451304	11.4726049	13.0570405	8.873889	3.9451304	14.8351775	3.9451304	7.5377534	10.9912231	9.6479157	14.6709403	8.8151101	11.5863999	12.590572	3.9451304
12.6135957	10.6672821	4.2150622	12.2898062	12.9557924	4.2150622	4.2150622	4.2150622	11.362403	4.2150622	14.325299	14.3343916	11.8021566	10.6918832	13.8254162
11.5025318	12.3825491	4.0566172	7.658677	10.5433379	13.264103	4.0566172	4.0566172	11.4215454	10.8355787	13.1582142	12.0215122	10.8020827	10.5769681	4.0566172
3.9577289	12.984606	9.9631489	3.9577289	8.7543203	3.9577289	3.9577289	3.9577289	11.6338146	3.9577289	18.7412859	14.3148516	11.0870588	12.7617587	3.9577289
3.8275232	10.1959888	3.8275232	3.8275232	9.3627105	9.5379131	3.8275232	3.8275232	11.9625596	9.3990684	11.7237354	12.1896641	11.2700885	5.7880072	8.8344936
4.0673445	9.8898156	4.0673445	4.0673445	4.0673445	14.1402137	4.0673445	4.0673445	10.6054401	10.4835063	15.9020942	17.1002946	10.5522669	11.3701543	4.0673445
10.2564337	8.1336118	3.9008987	3.9008987	3.9008987	3.9008987	3.9008987	6.8361775	10.5266352	9.5582851	13.1784	9.4351808	9.9903188	12.5575642	8.4727367
11.0151095	11.1003208	3.7270691	11.7794935	10.6275644	3.7270691	11.6502353	8.5774825	12.4771297	10.4313744	12.203054	8.7405947	9.5927212	11.5943751	9.2972742
12.8905946	11.7229262	8.603252	8.2543704	8.2621466	10.6561491	3.7025829	6.4154163	10.2788508	8.5780919	15.2752336	12.2623366	13.2661063	8.4044177	7.3953905
