PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS
15.0775033	11.790365	18.5444611	14.1190379	10.3670099	13.7702189	12.7398939	8.684558	10.5273589	9.8842416
12.4822101	11.4063217	12.4671378	12.62491	9.7304857	8.2184656	3.6361336	3.6361336	13.3047819	10.539827
10.2947369	11.674661	12.5006782	12.1562704	10.3758239	3.7957917	13.2669385	8.8870842	12.3505556	12.6888448
12.9473345	13.4532927	12.7108042	8.8416457	4.1315513	4.1315513	4.1315513	4.1315513	11.4416772	14.1264256
15.1190395	10.7638597	16.166969	14.4843103	9.7881752	10.048782	19.9511176	7.3589313	12.5196872	15.298696
15.9748471	13.3931697	19.0873351	16.9174384	13.0272154	10.6708748	13.8002351	3.7560091	12.5012707	14.2502999
15.1044522	13.7612681	15.3045405	14.0503443	12.8820708	13.503472	10.5260638	3.9771163	13.3384063	19.912501
18.870436	12.6579741	18.9254206	19.0740209	9.6608147	3.9310482	18.5389343	7.3615833	13.1641707	17.9325008
16.9146334	9.3037239	9.1579392	12.0843911	11.5587671	17.8609419	12.2994425	9.9275368	12.7157058	11.0881921
10.2191922	8.0035212	10.8502507	7.1333601	10.5187713	9.6486642	11.8647586	3.7743993	14.2537864	23.3300145
11.9335841	11.6076835	12.4074421	10.9302982	12.6441297	10.8813825	15.972798	8.7519256	14.2060634	17.4172058
17.2373979	10.9595099	18.6249656	11.1902455	10.4755283	19.8842939	12.3217155	8.4636993	13.7000173	12.3139317
14.8831423	11.4646784	13.9724507	9.0849926	11.0444714	20.9841647	11.7180341	3.9346498	14.179541	13.3780567
13.5871187	10.0621488	16.5909123	12.7532564	16.1093163	10.5697044	15.3509163	5.6296084	14.7953065	14.7881673
4.0764525	11.8180716	4.0764525	4.0764525	12.1751888	4.0764525	4.0764525	4.0764525	11.9695688	10.9369137
13.880926	13.217379	12.6760724	13.8638393	10.0115103	13.0691225	12.6790946	4.1012148	9.9108968	13.1915705
14.9833444	10.5476954	15.3098689	12.7823595	13.2686528	10.8802922	11.708588	7.401012	14.0808241	14.0899063
15.178137	12.6869718	15.0019276	11.451598	11.0982709	11.5398314	16.5276234	10.3745099	12.5354951	12.124389
12.5932187	13.5239101	13.2727839	14.6344589	13.7734068	12.4519562	15.076783	3.684358	17.8058377	15.12824
14.3567687	9.6335462	12.9779873	13.0892015	11.2961433	8.1633341	14.210818	8.4357517	12.365445	14.4892534
9.2588354	9.4329784	13.3681914	3.8526003	8.1965854	11.5218373	11.3745342	9.3053912	14.0853794	29.7447845
15.7263177	8.5818847	14.2475919	14.60977	11.0465995	13.5385515	14.084638	8.4245107	12.3205745	16.5775826
13.3603398	10.1146745	12.9817315	10.94247	3.9248616	10.8332552	11.718707	7.1408583	12.4375105	11.9898776
15.2167726	10.2978272	16.4618244	13.673496	13.3633859	13.1222761	10.9322575	7.0918719	13.3285061	15.336757
10.810197	9.9634698	15.5057996	8.9328069	3.7704238	11.5107877	11.0051039	6.6092278	13.5679227	17.2153035
15.246749	10.9545973	4.0140617	9.5067971	4.0140617	4.0140617	4.0140617	6.2987499	11.420873	10.5624459
