"Cell","h","monocle3_pseudotime","UMAP1","UMAP2","cluster","partition"
249,6,7.29073276024494,-1.52469956874847,3.11550760269165,"1","1"
272,6,7.29073975520523,-1.69520080089569,2.96471357345581,"1","1"
279,6,7.29074675016553,-1.75353932380676,2.37204837799072,"1","1"
283,6,7.29075374512582,-2.09804558753967,2.7759804725647,"1","1"
284,6,7.29076074008611,-1.46627759933472,2.3123254776001,"1","1"
285,6,7.2907677350464,-1.43209910392761,3.09379029273987,"1","1"
286,6,7.29077473000669,-1.45208370685577,2.71202182769775,"1","1"
290,6,7.29078172496699,-2.07737898826599,2.63552212715149,"1","1"
295,6,7.29078871992728,-2.09457206726074,2.45934367179871,"1","1"
296,6,7.29079571488757,-1.52195918560028,3.05384492874146,"1","1"
299,6,7.29080270984786,-1.66643512248993,2.99717307090759,"1","1"
300,6,7.29080970480815,-1.56847417354584,2.13146209716797,"1","1"
321,6,7.29081669976845,-1.67846632003784,2.23363518714905,"1","1"
324,6,7.29082369472874,-2.17077112197876,2.47247886657715,"1","1"
329,6,7.29083068968903,-1.60799300670624,3.00063753128052,"1","1"
333,6,7.29083768464932,-1.48399531841278,2.53945350646973,"1","1"
339,6,7.29084467960961,-1.46166849136353,1.96925675868988,"1","1"
348,6,7.2908516745699,-1.48259651660919,2.15582990646362,"1","1"
349,6,7.2908586695302,-1.48274624347687,2.57674717903137,"1","1"
352,6,7.29086566449049,-1.7070107460022,3.02054214477539,"1","1"
354,6,7.29087265945078,-1.48423373699188,1.73581433296204,"1","1"
356,6,7.29087965441107,-1.72854101657867,2.71387839317322,"1","1"
358,6,7.29088664937136,-2.03320980072021,2.60078930854797,"1","1"
382,12,7.29089364433166,-1.51868939399719,2.51017546653748,"1","1"
411,12,7.29090063929195,-1.85584008693695,2.9486403465271,"1","1"
413,12,7.29090763425224,-1.68895900249481,1.88438498973846,"1","1"
415,12,7.29091462921253,-1.38965427875519,2.63154315948486,"1","1"
471,12,7.29092162417282,-1.56297314167023,2.36531043052673,"1","1"
494,24,7.29092861913312,-1.43815398216248,3.08074426651001,"1","1"
499,24,7.29093561409341,-2.06711053848267,2.65082859992981,"1","1"
514,24,7.2909426090537,-2.41582942008972,2.47182416915894,"1","1"
516,24,7.29094960401399,-2.03663992881775,2.80013513565063,"1","1"
565,24,7.29095659897428,-1.77145051956177,2.90383362770081,"1","1"
956,96,7.29096359393457,-1.80575180053711,2.79115843772888,"1","1"
152,1,7.29247724463557,4.86808824539185,-1.33656442165375,"2","2"
179,1,7.31618998785026,4.2612099647522,-1.77470505237579,"2","2"
210,1,7.32367396573297,4.14678382873535,-2.07541275024414,"2","2"
184,1,7.33863603620627,4.03204727172852,-2.3055624961853,"2","2"
195,1,7.34088574350529,4.91694927215576,-2.34283351898193,"2","2"
173,1,7.45703446502893,5.03309488296509,-2.46696090698242,"2","2"
390,12,7.95179385083755,-2.6229190826416,1.42659759521484,"1","1"
567,24,7.95180084579784,-2.24030351638794,1.16113197803497,"1","1"
541,24,7.97547054590716,-2.09131908416748,1.10485398769379,"1","1"
564,24,8.03158055485479,-1.8947913646698,1.04587018489838,"1","1"
694,48,8.03841101764734,-2.54056453704834,1.05222070217133,"1","1"
381,12,8.08884772634171,-2.00015735626221,0.991855382919312,"1","1"
365,12,8.1410125302342,-1.55598521232605,1.07924556732178,"1","1"
521,24,8.15893301408602,-1.97460663318634,1.45545303821564,"1","1"
702,48,8.17417692471794,-1.87794733047485,0.905719995498657,"1","1"
410,12,8.19291716117162,-1.57085382938385,1.14051592350006,"1","1"
171,1,8.25647494495113,5.83614730834961,-1.73930418491364,"2","2"
174,1,8.25648193991142,5.95392322540283,-1.67984890937805,"2","2"
188,1,8.25648893487172,5.89601850509644,-1.58132886886597,"2","2"
588,24,8.25799071655113,-1.93222999572754,1.51164245605469,"1","1"
551,24,8.27837836425459,-2.42841291427612,1.95675683021545,"1","1"
180,1,8.27908072729833,5.77558517456055,-1.92748665809631,"2","2"
177,1,8.28538537683001,6.02380084991455,-1.90034294128418,"2","2"
510,24,8.29673393088198,-2.52332091331482,2.05540347099304,"1","1"
151,1,8.30365945209112,5.94763708114624,-2.1351535320282,"2","2"
235,1,8.30993408366436,6.15029001235962,-1.87939810752869,"2","2"
213,1,8.31244894726952,6.10038328170776,-1.96962809562683,"2","2"
433,12,8.31450637733169,-1.54050624370575,1.22808194160461,"1","1"
134,1,8.3168261227247,6.14689016342163,-1.93065142631531,"2","2"
396,12,8.32556131584281,-1.86731541156769,1.51903438568115,"1","1"
155,1,8.34681721796287,6.17025756835938,-2.09794616699219,"2","2"
425,12,8.35111554520506,-1.29113662242889,1.04815828800201,"1","1"
168,1,8.35672053967643,6.10309219360352,-2.26323485374451,"2","2"
122,1,8.38345141213863,5.6823263168335,-1.90925931930542,"2","2"
398,12,8.41510830334807,-1.49311995506287,1.28140652179718,"1","1"
220,1,8.48744486978625,5.62375211715698,-2.02813124656677,"2","2"
323,6,8.49476797717536,-2.01054215431213,1.80016112327576,"1","1"
183,1,8.52404897176437,5.54202842712402,-1.82616603374481,"2","2"
351,6,8.56912897498456,-1.09221768379211,0.502567112445831,"1","1"
136,1,8.56925375400567,5.56785774230957,-2.08245539665222,"2","2"
462,12,8.57292266183181,-1.20112705230713,0.501053333282471,"1","1"
353,6,8.65892869003139,-2.41341114044189,2.29953503608704,"1","1"
363,12,8.69024411790226,-0.830748081207275,-0.397374719381332,"1","1"
371,12,8.69025111286255,-0.920690476894379,-0.42693766951561,"1","1"
372,12,8.69025810782284,-0.758505761623383,-0.41821563243866,"1","1"
477,12,8.69026510278313,-0.971975445747375,0.243913859128952,"1","1"
480,12,8.69027209774342,-0.602931022644043,-0.630516052246094,"1","1"
520,24,8.69027909270371,-1.27292847633362,0.164728939533234,"1","1"
532,24,8.690286087664,-1.04792463779449,0.174573913216591,"1","1"
534,24,8.69029308262429,-1.48328745365143,0.0568426065146923,"1","1"
752,72,8.69030007758458,-1.18374562263489,0.058031365275383,"1","1"
869,96,8.69030707254488,-1.07100749015808,0.180901303887367,"1","1"
430,12,8.70972112272488,-1.0658153295517,-0.397626101970673,"1","1"
127,1,8.7120642147992,6.49138736724854,-2.13391304016113,"2","2"
130,1,8.71207120975949,6.43149185180664,-2.06935596466064,"2","2"
144,1,8.71207820471978,6.42715454101562,-2.10904383659363,"2","2"
146,1,8.71208519968007,6.44608974456787,-2.26640558242798,"2","2"
149,1,8.71209219464036,6.37075281143188,-2.08185648918152,"2","2"
185,1,8.71209918960065,6.41152858734131,-2.35939121246338,"2","2"
207,1,8.71210618456094,6.37596702575684,-2.0807523727417,"2","2"
178,1,8.7122428892596,5.38309144973755,-1.83008277416229,"2","2"
823,72,8.73319539381769,-1.57149076461792,0.0853690877556801,"1","1"
236,1,8.73876014872241,5.46023178100586,-2.22772407531738,"2","2"
378,12,8.74027979664118,-1.58016061782837,1.66006970405579,"1","1"
317,6,8.77388093899293,-1.91699695587158,1.98070657253265,"1","1"
229,1,8.81822095455429,6.4070782661438,-2.47184109687805,"2","2"
140,1,8.83429600468207,6.47930431365967,-2.52404761314392,"2","2"
133,1,8.84776752603741,6.32697200775146,-2.45362758636475,"2","2"
137,1,8.85528809985573,5.42309617996216,-2.47462511062622,"2","2"
218,1,8.86103737818419,5.25025844573975,-1.80453896522522,"2","2"
289,6,8.86689374576675,-1.95428085327148,0.334971159696579,"1","1"
792,72,8.8707886097851,-1.62355065345764,-0.000176993809873238,"1","1"
951,96,8.87493903417401,-1.19000422954559,-0.438560962677002,"1","1"
201,1,8.88600197500938,5.33909606933594,-2.24358367919922,"2","2"
125,1,8.88750265341687,5.32670545578003,-2.199214220047,"2","2"
723,72,8.91757374456888,-1.55289196968079,-0.117756702005863,"1","1"
135,1,8.91830912262105,5.34823560714722,-2.38953495025635,"2","2"
225,1,8.93089862943787,5.30326700210571,-2.25278806686401,"2","2"
768,72,8.93488508747691,-1.17324149608612,-0.515330255031586,"1","1"
159,1,8.94112367157008,6.26243686676025,-2.49725294113159,"2","2"
205,1,8.98186595804754,5.94527769088745,-2.36128282546997,"2","2"
733,72,8.98250079086932,-2.0558078289032,0.320995688438416,"1","1"
361,12,9.01675084310013,-1.05390059947968,-0.716778337955475,"1","1"
129,1,9.09787676558301,6.24595403671265,-2.61978125572205,"2","2"
221,1,9.12051542814324,6.29610443115234,-2.66564846038818,"2","2"
729,72,9.12134943891824,-1.67098033428192,-0.203390344977379,"1","1"
181,1,9.12560245681214,6.33688592910767,-2.69177985191345,"2","2"
813,72,9.13025061355357,-1.3406480550766,-0.543150246143341,"1","1"
730,72,9.13359974212936,-1.88475048542023,-0.00152564269956201,"1","1"
234,1,9.15704582185741,6.25787734985352,-2.67575073242188,"2","2"
121,1,9.15784665451417,6.04095697402954,-2.56006836891174,"2","2"
789,72,9.16129570012033,-1.49469172954559,-0.419916957616806,"1","1"
123,1,9.17131030719585,5.67327117919922,-2.65988540649414,"2","2"
131,1,9.17131730215614,5.88072156906128,-2.72025156021118,"2","2"
147,1,9.17132429711643,6.05187463760376,-2.74201846122742,"2","2"
150,1,9.17133129207672,6.2947826385498,-2.708336353302,"2","2"
156,1,9.17133828703701,5.6956639289856,-2.52956748008728,"2","2"
161,1,9.1713452819973,5.94493770599365,-2.58187866210938,"2","2"
182,1,9.17135227695759,5.81478691101074,-2.5874969959259,"2","2"
190,1,9.17135927191788,5.68885231018066,-2.50242304801941,"2","2"
192,1,9.17136626687817,5.86368417739868,-2.70513272285461,"2","2"
203,1,9.17137326183846,6.27586793899536,-2.7634699344635,"2","2"
209,1,9.17138025679876,5.95902967453003,-2.58626937866211,"2","2"
237,1,9.17138725175905,5.68759965896606,-2.61945080757141,"2","2"
238,1,9.17139424671934,5.95587778091431,-2.67666029930115,"2","2"
850,96,9.18788616570809,-1.30454075336456,-0.636975586414337,"1","1"
872,96,9.19927108124153,-1.99327754974365,0.0414716489613056,"1","1"
755,72,9.20748320785955,-2.08467149734497,0.12479954957962,"1","1"
944,96,9.26723468093634,-2.0569748878479,0.037266694009304,"1","1"
727,72,9.29820905822422,-1.30626118183136,-0.745635271072388,"1","1"
539,24,9.30948279377649,-1.11321187019348,-0.950267910957336,"1","1"
818,72,9.34051068769942,-2.00970649719238,-0.0833904445171356,"1","1"
887,96,9.36767952140058,-2.32097721099854,0.201192751526833,"1","1"
913,96,9.39281671564765,-2.08203172683716,-0.0632837042212486,"1","1"
863,96,9.39788813582619,-2.19505834579468,0.0448545478284359,"1","1"
765,72,9.43584640202707,-2.1708607673645,-0.0173631180077791,"1","1"
955,96,9.44216470640053,-1.46866691112518,-0.726992189884186,"1","1"
504,24,9.93083854797999,-2.80248188972473,-0.27405771613121,"1","1"
776,72,9.99090106289455,-2.72200489044189,-0.0775299891829491,"1","1"
941,96,9.99986781981943,-2.99681925773621,-0.328519821166992,"1","1"
722,72,10.0539452031503,-2.6951892375946,-0.00356532586738467,"1","1"
793,72,10.1065548098205,-2.56108951568604,-0.264369904994965,"1","1"
788,72,10.1472244259876,-2.5979528427124,-0.491081088781357,"1","1"
959,96,10.1653943589009,-2.46047973632812,-0.413533866405487,"1","1"
428,12,10.1822748238367,-2.74654006958008,0.452796041965485,"1","1"
934,96,10.2532920363808,-2.82690358161926,-0.578732013702393,"1","1"
910,96,10.2809564416509,-2.34871935844421,-0.458691358566284,"1","1"
527,24,10.2822716870226,-2.31450700759888,-0.554315268993378,"1","1"
743,72,10.3259784318472,-2.78569507598877,-0.650066137313843,"1","1"
952,96,10.3670690540735,-2.77369379997253,-0.689746856689453,"1","1"
906,96,10.3878034489083,-2.83354210853577,-0.706017136573792,"1","1"
732,72,10.4162423974641,-3.68242740631104,-0.550361096858978,"1","1"
775,72,10.4162493924244,-3.63540077209473,-0.66708242893219,"1","1"
835,72,10.4162563873847,-3.70876145362854,-0.568307816982269,"1","1"
647,48,10.4163420910537,-3.60487031936646,-0.249127492308617,"1","1"
636,48,10.4164353008627,-3.57088899612427,-0.208329766988754,"1","1"
639,48,10.4174207014226,-3.4501314163208,-0.0183813739567995,"1","1"
690,48,10.4177276045153,-3.53941011428833,-0.0903441980481148,"1","1"
933,96,10.4183502753076,-3.38773131370544,0.10720706731081,"1","1"
677,48,10.4185922476625,-3.44016242027283,0.0688829198479652,"1","1"
725,72,10.4186928991651,-3.83659386634827,-0.333501607179642,"1","1"
692,48,10.4189185772494,-3.43309116363525,-0.226460993289948,"1","1"
656,48,10.4199669612802,-3.45398545265198,0.145684480667114,"1","1"
717,48,10.4201770383686,-3.57094812393188,0.0387053675949574,"1","1"
708,48,10.420432541423,-3.28260040283203,0.352569907903671,"1","1"
608,48,10.4211633900599,-3.89532232284546,-0.230603575706482,"1","1"
795,72,10.4213685561678,-3.77912330627441,-0.0975624248385429,"1","1"
718,48,10.4228278226875,-3.83806133270264,-0.0611407421529293,"1","1"
749,72,10.4232051259745,-4.17121410369873,-0.379784315824509,"1","1"
641,48,10.4248340970759,-3.36548590660095,-0.101132199168205,"1","1"
712,48,10.425024268495,-3.26171779632568,0.67900413274765,"1","1"
671,48,10.4253613508685,-3.50282406806946,0.452553063631058,"1","1"
922,96,10.4256728221621,-4.06963634490967,-0.111357592046261,"1","1"
886,96,10.4259829746414,-3.15093231201172,0.855950713157654,"1","1"
507,24,10.4260143007295,-4.0439395904541,-0.0629553496837616,"1","1"
710,48,10.4260745899615,-4.19042587280273,-0.210390955209732,"1","1"
800,72,10.4265175094145,-4.25495910644531,-0.247744217514992,"1","1"
214,1,10.4265450923095,-4.41601228713989,1.77884018421173,"1","1"
316,6,10.4265520872698,-3.26716184616089,1.01611030101776,"1","1"
442,12,10.42655908223,-3.77201652526855,0.716769576072693,"1","1"
537,24,10.4265660771903,-4.85370683670044,-0.168682649731636,"1","1"
577,24,10.4265730721506,-4.83734035491943,-0.240131363272667,"1","1"
598,24,10.4265800671109,-3.03139567375183,1.04655802249908,"1","1"
605,48,10.4265870620712,-3.96106433868408,1.10939419269562,"1","1"
609,48,10.4265940570315,-4.31716251373291,-0.219966888427734,"1","1"
613,48,10.4266010519918,-3.66580247879028,1.14553868770599,"1","1"
619,48,10.4266080469521,-3.89897203445435,1.48467195034027,"1","1"
634,48,10.4266150419124,-4.15415477752686,1.56112444400787,"1","1"
643,48,10.4266220368727,-3.93557834625244,0.745704293251038,"1","1"
650,48,10.426629031833,-3.97369027137756,0.0874809846282005,"1","1"
660,48,10.4266360267932,-3.7501814365387,0.305518388748169,"1","1"
661,48,10.4266430217535,-3.70606970787048,0.407556414604187,"1","1"
666,48,10.4266500167138,-3.95527839660645,1.22693717479706,"1","1"
679,48,10.4266570116741,-4.08359336853027,1.26129460334778,"1","1"
682,48,10.4266640066344,-4.30768632888794,1.41251301765442,"1","1"
686,48,10.4266710015947,-4.74048948287964,0.0841191560029984,"1","1"
689,48,10.426677996555,-4.62364673614502,1.49269938468933,"1","1"
691,48,10.4266849915153,-3.51726603507996,0.741097271442413,"1","1"
698,48,10.4266919864756,-4.05124998092651,1.29538750648499,"1","1"
705,48,10.4266989814359,-3.25976490974426,0.794248282909393,"1","1"
709,48,10.4267059763962,-4.57731771469116,1.78649246692657,"1","1"
715,48,10.4267129713564,-4.75873231887817,1.38399028778076,"1","1"
721,72,10.4267199663167,-4.75297069549561,1.40559375286102,"1","1"
731,72,10.426726961277,-3.92108154296875,1.155233502388,"1","1"
738,72,10.4267339562373,-4.81535863876343,1.31480026245117,"1","1"
740,72,10.4267409511976,-4.76360750198364,0.111934520304203,"1","1"
742,72,10.4267479461579,-4.50076913833618,0.916349470615387,"1","1"
746,72,10.4267549411182,-3.60929298400879,0.462313085794449,"1","1"
748,72,10.4267619360785,-4.22503900527954,0.646380484104156,"1","1"
750,72,10.4267689310388,-4.90190076828003,0.357140123844147,"1","1"
756,72,10.4267759259991,-4.35566425323486,1.08027100563049,"1","1"
757,72,10.4267829209594,-4.32107877731323,0.19030287861824,"1","1"
758,72,10.4267899159196,-4.83219861984253,0.847804367542267,"1","1"
759,72,10.4267969108799,-3.31747698783875,0.950871765613556,"1","1"
760,72,10.4268039058402,-3.44615626335144,0.925412774085999,"1","1"
761,72,10.4268109008005,-4.78625440597534,0.500553607940674,"1","1"
762,72,10.4268178957608,-4.02524948120117,0.367986053228378,"1","1"
769,72,10.4268248907211,-4.78181219100952,1.22916615009308,"1","1"
774,72,10.4268318856814,-4.05109262466431,-0.0348847657442093,"1","1"
780,72,10.4268388806417,-4.06770610809326,1.26322555541992,"1","1"
784,72,10.426845875602,-4.1684947013855,1.44853270053864,"1","1"
785,72,10.4268528705623,-3.70043706893921,0.904618501663208,"1","1"
786,72,10.4268598655226,-4.47962474822998,0.0825487598776817,"1","1"
799,72,10.4268668604828,-4.55630970001221,0.854931652545929,"1","1"
804,72,10.4268738554431,-4.77136373519897,1.6016937494278,"1","1"
810,72,10.4268808504034,-3.92833232879639,0.49114516377449,"1","1"
811,72,10.4268878453637,-4.80134677886963,0.801641225814819,"1","1"
816,72,10.426894840324,-4.23426580429077,1.19797158241272,"1","1"
822,72,10.4269018352843,-4.5651068687439,1.57000041007996,"1","1"
824,72,10.4269088302446,-4.09287595748901,1.20663738250732,"1","1"
827,72,10.4269158252049,-4.31074857711792,0.0876264497637749,"1","1"
836,72,10.4269228201652,-4.12482690811157,0.169149786233902,"1","1"
842,96,10.4269298151255,-4.70368814468384,0.945899844169617,"1","1"
845,96,10.4269368100858,-4.76167154312134,0.0011696518631652,"1","1"
854,96,10.426943805046,-4.2105770111084,0.407730489969254,"1","1"
855,96,10.4269508000063,-4.94265842437744,0.742032110691071,"1","1"
856,96,10.4269577949666,-4.27452039718628,1.18721187114716,"1","1"
862,96,10.4269647899269,-4.77385187149048,1.40093576908112,"1","1"
866,96,10.4269717848872,-4.73979139328003,0.175713568925858,"1","1"
867,96,10.4269787798475,-4.18494749069214,0.609657108783722,"1","1"
870,96,10.4269857748078,-4.79697799682617,0.379629343748093,"1","1"
874,96,10.4269927697681,-4.37812519073486,0.0109691442921758,"1","1"
876,96,10.4269997647284,-4.87112617492676,0.880698680877686,"1","1"
877,96,10.4270067596887,-3.58965420722961,1.04627370834351,"1","1"
878,96,10.427013754649,-4.5556812286377,0.494814217090607,"1","1"
882,96,10.4270207496092,-4.29412508010864,1.47565138339996,"1","1"
884,96,10.4270277445695,-4.34309577941895,0.506732881069183,"1","1"
888,96,10.4270347395298,-4.10341310501099,1.12513327598572,"1","1"
891,96,10.4270417344901,-4.68726396560669,1.24432361125946,"1","1"
892,96,10.4270487294504,-4.81109189987183,0.873902678489685,"1","1"
895,96,10.4270557244107,-4.6850118637085,1.40853118896484,"1","1"
902,96,10.427062719371,-4.74191999435425,0.965221345424652,"1","1"
908,96,10.4270697143313,-4.61661958694458,1.47030818462372,"1","1"
911,96,10.4270767092916,-4.49133157730103,1.03678119182587,"1","1"
912,96,10.4270837042519,-4.47957468032837,1.51092278957367,"1","1"
914,96,10.4270906992122,-4.82016372680664,0.273382276296616,"1","1"
915,96,10.4270976941724,-3.67110085487366,1.17263185977936,"1","1"
916,96,10.4271046891327,-4.46946620941162,0.841861724853516,"1","1"
917,96,10.427111684093,-4.78878307342529,1.40660607814789,"1","1"
918,96,10.4271186790533,-4.83026885986328,1.06488859653473,"1","1"
919,96,10.4271256740136,-4.83952188491821,1.2558833360672,"1","1"
923,96,10.4271326689739,-3.36107516288757,0.976450681686401,"1","1"
924,96,10.4271396639342,-4.71998691558838,1.42211616039276,"1","1"
926,96,10.4271466588945,-4.31258916854858,1.02286970615387,"1","1"
